transaction_hour,transaction_day,transaction_month,transaction_year,transaction_exact_time,transaction_amount,upi_number,account_holder_name,seller_name,transaction_category,device_type,transaction_status
14,21,1,2024,52196,632.0189971689883,upi33@bank,User33,Seller83,Utilities,Mobile Web,Valid
18,15,1,2023,48285,2816.766779362697,upi34@bank,User34,Seller23,P2P Transfer,Native App Android,Valid
11,15,9,2024,55499,1709.2951574505096,upi35@bank,User35,Seller32,Groceries,Native App iOS,Valid
22,4,5,2024,19420,99.2615769923769,upi36@bank,User36,Seller62,P2P Transfer,Native App Android,Valid
19,23,1,2024,25236,1039.5387461548275,upi37@bank,User37,Seller45,Gaming/Entertainment,Mobile Web,Valid
2,23,7,2023,6218,406.4624118477588,upi38@bank,User38,Seller68,P2P Transfer,Mobile Web,Valid
4,6,9,2023,49892,889.9933333194609,upi39@bank,User39,Seller30,Gaming/Entertainment,Native App Android,Valid
18,24,11,2024,74031,966.9126544101998,upi40@bank,User40,Seller39,Utilities,Desktop Web,Valid
6,20,1,2023,64057,1288.4411105592599,upi41@bank,User41,Seller5,Groceries,Native App iOS,Valid
20,26,10,2023,78609,1834.0342048770979,upi42@bank,User42,Seller67,Groceries,Native App Android,Valid
8,5,4,2024,76907,1692.4925386641512,upi43@bank,User43,Seller22,Gaming/Entertainment,Native App Android,Valid
6,20,3,2024,83130,79.54385187266621,upi44@bank,User44,Seller28,Groceries,Native App iOS,Valid
17,12,5,2023,11226,2778.1100845013175,upi45@bank,User45,Seller22,Healthcare,Native App Android,Valid
3,1,7,2024,52271,5959.08347983598,upi46@bank,User46,Seller86,Food & Dining,Native App iOS,Valid
13,28,8,2023,10046,857.5123702458153,upi47@bank,User47,Seller98,Groceries,Native App Android,Valid
17,8,2,2024,37117,396.28465888803663,upi48@bank,User48,Seller29,Utilities,Native App Android,Valid
8,1,7,2023,4965,1553.0643751633888,upi49@bank,User49,Seller43,Healthcare,Native App iOS,Valid
20,5,1,2023,59478,2440.969615397179,upi50@bank,User50,Seller42,Food & Dining,Native App Android,Valid
1,22,7,2024,78872,2272.0358420079515,upi51@bank,User51,Seller60,Electronics,Native App iOS,Valid
19,6,8,2023,57277,1894.0647909703303,upi52@bank,User52,Seller77,Gaming/Entertainment,Mobile Web,Valid
14,29,2,2023,85379,316.19216035281875,upi53@bank,User53,Seller71,Travel/Transport,Native App iOS,Fraud
6,21,9,2024,59613,3625.8627746429624,upi54@bank,User54,Seller74,P2P Transfer,Native App Android,Valid
11,3,1,2023,17373,1108.9336019654013,upi55@bank,User55,Seller92,Groceries,Native App Android,Fraud
7,15,6,2023,45452,500.69186550166825,upi56@bank,User56,Seller68,Gaming/Entertainment,Native App iOS,Valid
14,5,1,2023,50089,180.43186542461208,upi57@bank,User57,Seller59,Electronics,Native App Android,Valid
2,28,3,2024,6654,1078.172832314655,upi58@bank,User58,Seller96,Groceries,Native App iOS,Valid
13,24,11,2024,31280,1924.5282297466358,upi59@bank,User59,Seller86,P2P Transfer,POS Terminal,Valid
16,14,6,2024,56141,2189.505746513197,upi60@bank,User60,Seller84,Utilities,Native App iOS,Fraud
3,18,3,2024,67894,6579.504047974973,upi61@bank,User61,Seller84,Utilities,Native App iOS,Failed
17,16,8,2024,26583,332.45886549660423,upi62@bank,User62,Seller6,P2P Transfer,Native App iOS,Valid
7,6,5,2023,6360,8505.320936803977,upi63@bank,User63,Seller73,Electronics,Native App Android,Valid
3,25,2,2023,53968,2126.543652760956,upi64@bank,User64,Seller28,Gaming/Entertainment,Native App iOS,Valid
1,24,4,2023,3743,1211.1118217409237,upi65@bank,User65,Seller77,Food & Dining,Native App Android,Valid
5,14,9,2024,7159,4381.984144881193,upi66@bank,User66,Seller31,Travel/Transport,Native App iOS,Valid
21,27,4,2023,32151,2371.4783829015632,upi67@bank,User67,Seller39,Travel/Transport,Native App Android,Fraud
9,24,10,2024,518,857.6226906228873,upi68@bank,User68,Seller50,Gaming/Entertainment,Mobile Web,Valid
3,8,10,2023,16652,4309.808248972507,upi69@bank,User69,Seller78,Travel/Transport,Mobile Web,Valid
21,29,8,2024,78461,2196.917341853047,upi70@bank,User70,Seller86,Food & Dining,Native App iOS,Valid
17,7,5,2023,71011,2400.209627938189,upi71@bank,User71,Seller37,Groceries,Native App Android,Valid
11,8,11,2023,42348,4534.2406971452165,upi72@bank,User72,Seller88,Gaming/Entertainment,Native App Android,Valid
1,13,11,2024,75422,1189.9230340998158,upi73@bank,User73,Seller72,P2P Transfer,Native App Android,Valid
9,6,10,2023,77001,2139.4905928570065,upi74@bank,User74,Seller15,P2P Transfer,Mobile Web,Valid
3,18,1,2023,76757,2730.5459076975085,upi75@bank,User75,Seller51,Food & Dining,Native App Android,Valid
13,2,7,2024,24395,1210.0530512395158,upi76@bank,User76,Seller70,Electronics,Native App Android,Valid
15,8,3,2023,2335,174.28193238162635,upi77@bank,User77,Seller23,Travel/Transport,Native App iOS,Valid
14,11,10,2023,70112,2951.91102159489,upi78@bank,User78,Seller25,Gaming/Entertainment,Native App Android,Valid
7,1,8,2024,500,97.99471202541909,upi79@bank,User79,Seller95,Healthcare,Native App iOS,Failed
13,22,12,2024,8083,2531.089428225352,upi80@bank,User80,Seller46,P2P Transfer,Native App Android,Valid
22,29,3,2024,81256,4835.435479873688,upi81@bank,User81,Seller93,Gaming/Entertainment,Native App Android,Valid
7,6,1,2024,5543,852.2613502717709,upi82@bank,User82,Seller23,Utilities,Mobile Web,Valid
20,16,5,2024,68812,215.3080321915614,upi83@bank,User83,Seller10,Utilities,POS Terminal,Failed
15,27,2,2023,52237,530.1823316276557,upi84@bank,User84,Seller73,Healthcare,Native App Android,Failed
12,20,11,2024,6613,1652.3588315703007,upi85@bank,User85,Seller77,P2P Transfer,Native App Android,Valid
17,12,4,2024,66863,5717.50467670021,upi86@bank,User86,Seller32,Travel/Transport,Desktop Web,Fraud
14,11,1,2023,40540,1436.0388110923939,upi87@bank,User87,Seller51,Travel/Transport,Native App Android,Valid
20,29,9,2023,76202,239.22832072736588,upi88@bank,User88,Seller41,Travel/Transport,Native App Android,Valid
23,27,6,2023,26255,1976.557456311352,upi89@bank,User89,Seller65,Electronics,Native App iOS,Valid
12,29,8,2023,85666,2639.8520561289874,upi90@bank,User90,Seller65,Utilities,Native App iOS,Valid
8,10,11,2023,22068,999.3878565614477,upi91@bank,User91,Seller40,Electronics,Native App iOS,Valid
14,3,4,2024,49057,2556.7754424651703,upi92@bank,User92,Seller18,Food & Dining,Native App iOS,Valid
12,13,9,2023,18946,785.5602529311776,upi93@bank,User93,Seller36,Groceries,Native App Android,Valid
0,27,2,2024,20547,3112.6489911157437,upi94@bank,User94,Seller31,Travel/Transport,Native App iOS,Valid
6,3,9,2023,85237,834.282498127827,upi95@bank,User95,Seller54,Food & Dining,Native App Android,Valid
8,15,12,2024,5769,591.7163896657395,upi96@bank,User96,Seller63,Groceries,Native App Android,Valid
23,16,5,2023,24883,4226.930161176005,upi97@bank,User97,Seller1,Healthcare,Native App Android,Valid
0,29,6,2024,61340,1590.2420800583195,upi98@bank,User98,Seller52,Utilities,Native App iOS,Valid
11,13,3,2024,79199,671.382691668322,upi99@bank,User99,Seller57,Groceries,Native App iOS,Valid
7,17,4,2024,35162,5469.411334306605,upi100@bank,User100,Seller9,Gaming/Entertainment,Native App Android,Fraud
23,3,6,2024,85924,2347.864970472563,upi101@bank,User101,Seller86,Groceries,Mobile Web,Valid
10,20,7,2024,33434,498.7194219438518,upi102@bank,User102,Seller92,P2P Transfer,Native App Android,Valid
18,11,1,2024,22102,1907.1668535817823,upi103@bank,User103,Seller90,Groceries,POS Terminal,Valid
16,27,7,2024,21536,4085.969771400496,upi104@bank,User104,Seller74,P2P Transfer,Mobile Web,Valid
7,21,1,2024,77891,2382.4629257204742,upi105@bank,User105,Seller56,Groceries,Native App Android,Valid
2,19,5,2024,67770,561.4371499777278,upi106@bank,User106,Seller47,P2P Transfer,Native App iOS,Valid
2,22,6,2024,50388,2093.0740737366564,upi107@bank,User107,Seller3,Utilities,Native App iOS,Valid
0,11,2,2023,50775,1930.7485849412737,upi108@bank,User108,Seller2,Utilities,Native App iOS,Valid
4,30,10,2024,31147,3438.9929329880933,upi109@bank,User109,Seller54,Gaming/Entertainment,Desktop Web,Valid
9,28,9,2024,50526,392.3524143056249,upi110@bank,User110,Seller37,Groceries,Native App iOS,Valid
6,16,10,2023,23659,2405.511537104743,upi111@bank,User111,Seller56,Healthcare,Native App iOS,Valid
8,21,6,2024,82096,55.50449588315499,upi112@bank,User112,Seller31,Healthcare,Native App Android,Valid
6,3,7,2024,23088,2382.6087814576476,upi113@bank,User113,Seller97,Electronics,Native App Android,Fraud
8,22,10,2023,68464,6459.737246701091,upi114@bank,User114,Seller96,Healthcare,Native App iOS,Valid
7,6,8,2023,59998,383.26134392876423,upi115@bank,User115,Seller12,Gaming/Entertainment,Native App Android,Valid
11,14,11,2024,40382,745.8983731244656,upi116@bank,User116,Seller58,Utilities,Native App iOS,Valid
1,24,10,2023,28184,1748.7222477055818,upi117@bank,User117,Seller67,Food & Dining,Native App Android,Valid
0,18,1,2024,20099,2636.4868753209535,upi118@bank,User118,Seller26,Healthcare,Native App Android,Valid
15,17,8,2024,69810,844.321588534749,upi119@bank,User119,Seller78,Food & Dining,Native App Android,Valid
22,4,4,2024,37739,2182.830363018508,upi120@bank,User120,Seller12,P2P Transfer,Native App Android,Valid
22,23,10,2023,8389,4590.797801994289,upi121@bank,User121,Seller90,Electronics,Mobile Web,Valid
23,15,8,2024,17352,2593.3372487422303,upi122@bank,User122,Seller16,Gaming/Entertainment,Mobile Web,Valid
4,11,6,2024,21148,2482.814403159335,upi123@bank,User123,Seller53,Gaming/Entertainment,Native App iOS,Valid
2,26,11,2023,31828,962.4386887224783,upi124@bank,User124,Seller72,Travel/Transport,Desktop Web,Fraud
11,3,9,2024,68040,4847.908551251123,upi125@bank,User125,Seller49,P2P Transfer,Mobile Web,Fraud
7,3,11,2024,56795,649.585651977878,upi126@bank,User126,Seller49,Groceries,Native App Android,Valid
21,16,4,2024,58620,459.5317527189653,upi127@bank,User127,Seller92,Healthcare,Native App Android,Valid
2,5,2,2024,57114,905.817749393976,upi128@bank,User128,Seller7,Gaming/Entertainment,Native App Android,Valid
0,21,2,2024,40711,2100.5371382147378,upi129@bank,User129,Seller15,Utilities,Native App Android,Valid
2,29,5,2024,17748,3956.3417573594634,upi130@bank,User130,Seller36,Electronics,Native App Android,Valid
4,10,10,2023,33691,283.3086630278995,upi131@bank,User131,Seller72,P2P Transfer,Native App Android,Valid
14,19,9,2024,65282,3361.8912146681646,upi132@bank,User132,Seller74,P2P Transfer,Native App iOS,Valid
13,25,12,2024,60360,3351.405388541293,upi133@bank,User133,Seller15,Food & Dining,Native App Android,Valid
2,4,3,2023,10246,1768.224885177211,upi134@bank,User134,Seller62,Groceries,Native App Android,Valid
0,29,8,2024,59395,2859.639509549357,upi135@bank,User135,Seller18,P2P Transfer,Native App Android,Valid
4,29,4,2024,32486,401.49421446679264,upi136@bank,User136,Seller46,Gaming/Entertainment,Native App iOS,Valid
22,19,6,2023,30340,371.6618167121087,upi137@bank,User137,Seller61,Food & Dining,Native App iOS,Valid
13,11,10,2023,84874,3972.6316248840762,upi138@bank,User138,Seller43,Electronics,Native App iOS,Valid
6,2,6,2023,50300,1378.901789436287,upi139@bank,User139,Seller44,P2P Transfer,Native App iOS,Valid
8,10,3,2023,3086,564.5592884385358,upi140@bank,User140,Seller99,Travel/Transport,Native App Android,Valid
14,29,5,2023,14860,2334.1914502046375,upi141@bank,User141,Seller66,Travel/Transport,Native App Android,Failed
14,11,12,2023,17013,4448.93771526319,upi142@bank,User142,Seller55,Food & Dining,Native App iOS,Valid
9,25,3,2023,7407,2001.0989613424174,upi143@bank,User143,Seller86,Travel/Transport,Native App iOS,Valid
12,20,11,2024,33542,853.4133717908605,upi144@bank,User144,Seller79,Gaming/Entertainment,Native App Android,Valid
18,16,11,2024,24935,1320.3448088825053,upi145@bank,User145,Seller39,Groceries,Native App Android,Valid
6,19,1,2024,49079,2790.8273191906214,upi146@bank,User146,Seller5,Gaming/Entertainment,Native App iOS,Valid
16,23,7,2023,34111,139.77489058130286,upi147@bank,User147,Seller57,Utilities,Native App Android,Fraud
19,24,4,2024,56550,489.6654296916567,upi148@bank,User148,Seller15,Travel/Transport,Mobile Web,Valid
3,11,7,2023,75697,1241.9625936344546,upi149@bank,User149,Seller91,Gaming/Entertainment,Native App Android,Valid
4,14,3,2024,76955,1853.8994962613747,upi150@bank,User150,Seller16,Electronics,Mobile Web,Valid
22,2,12,2024,40565,828.5039729277328,upi151@bank,User151,Seller57,P2P Transfer,Native App Android,Valid
6,23,11,2024,19283,708.7577976516685,upi152@bank,User152,Seller82,Gaming/Entertainment,Native App Android,Valid
12,28,5,2024,66470,84.5298110727814,upi153@bank,User153,Seller99,Food & Dining,Native App iOS,Valid
14,5,5,2023,79552,66.2901007239708,upi154@bank,User154,Seller25,P2P Transfer,Native App Android,Valid
10,27,2,2023,38233,653.3860111540317,upi155@bank,User155,Seller22,Utilities,Native App iOS,Valid
3,5,11,2024,22695,1512.1999463084132,upi156@bank,User156,Seller31,Gaming/Entertainment,Native App iOS,Valid
12,19,10,2023,42734,1625.5355409754272,upi157@bank,User157,Seller34,P2P Transfer,Native App Android,Valid
6,21,12,2023,81257,1362.5458897995836,upi158@bank,User158,Seller87,P2P Transfer,Mobile Web,Valid
18,12,2,2024,1505,1054.861064049066,upi159@bank,User159,Seller16,Food & Dining,Native App iOS,Valid
21,18,4,2023,5363,581.4844044498618,upi160@bank,User160,Seller70,Gaming/Entertainment,Mobile Web,Valid
1,4,4,2023,48708,1023.9673600847234,upi161@bank,User161,Seller59,Utilities,Mobile Web,Valid
9,22,4,2023,43614,298.7640551214091,upi162@bank,User162,Seller15,Electronics,Mobile Web,Fraud
12,17,6,2023,1010,244.9211820713024,upi163@bank,User163,Seller82,Food & Dining,Native App Android,Valid
20,10,2,2024,19861,713.1877710589406,upi164@bank,User164,Seller13,Healthcare,Native App iOS,Valid
5,20,6,2024,24125,10741.258520036645,upi165@bank,User165,Seller24,Utilities,Native App iOS,Valid
11,6,7,2023,9369,790.5255017447012,upi166@bank,User166,Seller13,Utilities,Native App Android,Valid
11,25,11,2024,69393,5512.057685476104,upi167@bank,User167,Seller65,P2P Transfer,POS Terminal,Valid
19,14,10,2024,26671,996.0233015892865,upi168@bank,User168,Seller36,Groceries,Native App Android,Valid
10,11,3,2024,75400,1156.1043664860122,upi169@bank,User169,Seller49,Groceries,Native App iOS,Valid
22,11,11,2023,64512,3189.7182347958665,upi170@bank,User170,Seller82,Gaming/Entertainment,Native App iOS,Valid
6,29,12,2023,75656,196.63371103850014,upi171@bank,User171,Seller48,Electronics,Native App iOS,Valid
0,18,8,2024,85759,402.55210386905645,upi172@bank,User172,Seller97,P2P Transfer,Mobile Web,Fraud
0,27,2,2024,44138,7287.067762932813,upi173@bank,User173,Seller43,Groceries,Native App iOS,Valid
19,23,11,2023,53420,1410.1048955543945,upi174@bank,User174,Seller6,Food & Dining,Native App Android,Valid
12,22,8,2024,68089,90.64270754761087,upi175@bank,User175,Seller81,Gaming/Entertainment,Native App Android,Valid
8,18,11,2023,15489,97.07993036132515,upi176@bank,User176,Seller68,Electronics,Native App Android,Valid
2,24,5,2024,59789,4755.494276180405,upi177@bank,User177,Seller14,P2P Transfer,Native App iOS,Valid
6,23,2,2023,69925,4132.894106809174,upi178@bank,User178,Seller30,Travel/Transport,Mobile Web,Valid
5,11,7,2023,49703,1226.4518169314981,upi179@bank,User179,Seller84,Food & Dining,Mobile Web,Valid
7,21,2,2023,76625,356.3931587140489,upi180@bank,User180,Seller8,Groceries,Mobile Web,Valid
8,12,6,2023,58228,3547.264799937923,upi181@bank,User181,Seller54,Groceries,Native App Android,Valid
4,5,10,2024,3051,784.9006597387425,upi182@bank,User182,Seller66,Groceries,Mobile Web,Valid
0,23,3,2023,38090,1086.210082464359,upi183@bank,User183,Seller4,Groceries,Desktop Web,Fraud
18,9,9,2024,28805,2294.406133443252,upi184@bank,User184,Seller74,Utilities,Native App Android,Valid
9,27,3,2023,44557,872.0497343093879,upi185@bank,User185,Seller84,Travel/Transport,Mobile Web,Valid
11,25,11,2023,2555,1981.3278529217446,upi186@bank,User186,Seller60,Electronics,Native App iOS,Fraud
23,9,12,2024,50241,4330.569058003009,upi187@bank,User187,Seller53,Electronics,Native App iOS,Valid
14,22,12,2024,78303,3192.7795099500463,upi188@bank,User188,Seller99,Groceries,Native App iOS,Valid
21,10,3,2024,65994,961.2753783153694,upi189@bank,User189,Seller74,Electronics,Native App iOS,Valid
23,22,5,2023,16066,679.1765259558463,upi190@bank,User190,Seller92,Travel/Transport,Mobile Web,Valid
8,19,7,2023,4721,672.3738111347451,upi191@bank,User191,Seller15,Food & Dining,Native App iOS,Valid
19,1,8,2024,77982,857.2356013764033,upi192@bank,User192,Seller1,Food & Dining,Native App Android,Valid
16,7,12,2023,6304,1360.528986636648,upi193@bank,User193,Seller22,Healthcare,Native App iOS,Valid
16,4,11,2024,42967,1077.7558064819573,upi194@bank,User194,Seller91,Electronics,POS Terminal,Valid
19,1,7,2023,78763,285.44188005943533,upi195@bank,User195,Seller93,Groceries,Native App iOS,Valid
11,15,9,2023,40462,356.9519809444286,upi196@bank,User196,Seller15,P2P Transfer,Native App iOS,Valid
6,8,5,2023,71834,839.9282536243328,upi197@bank,User197,Seller74,Travel/Transport,Mobile Web,Valid
1,12,10,2024,50155,1651.3654529636465,upi198@bank,User198,Seller84,Groceries,Native App Android,Valid
2,22,11,2023,75842,1796.2335177484745,upi199@bank,User199,Seller22,Utilities,Desktop Web,Valid
16,22,3,2024,2589,1331.8698893725466,upi200@bank,User200,Seller50,Gaming/Entertainment,Native App Android,Valid
4,18,6,2024,37078,2684.753094867161,upi201@bank,User201,Seller48,P2P Transfer,Mobile Web,Valid
16,15,5,2023,54918,2673.095318732006,upi202@bank,User202,Seller73,Travel/Transport,Native App iOS,Valid
23,17,12,2024,13601,1115.9304526298918,upi203@bank,User203,Seller51,Utilities,Mobile Web,Failed
16,29,4,2024,7711,265.7850466578276,upi204@bank,User204,Seller96,Electronics,Native App iOS,Valid
16,14,12,2023,59430,1510.7890079998926,upi205@bank,User205,Seller17,Utilities,Native App iOS,Valid
1,14,2,2024,63327,960.8161412110151,upi206@bank,User206,Seller83,Electronics,Native App Android,Valid
1,18,7,2024,3970,296.82134657542156,upi207@bank,User207,Seller91,Utilities,Native App Android,Valid
21,20,5,2023,69535,8014.559469454264,upi208@bank,User208,Seller51,P2P Transfer,Native App Android,Valid
22,18,4,2023,36176,923.294527940534,upi209@bank,User209,Seller37,Utilities,Native App iOS,Valid
4,16,12,2023,41730,1965.9181836646653,upi210@bank,User210,Seller98,Groceries,Native App Android,Valid
0,1,8,2024,82168,1347.1945089549447,upi211@bank,User211,Seller49,Electronics,Native App Android,Valid
0,23,9,2024,13385,308.23401229423365,upi212@bank,User212,Seller59,Food & Dining,Native App iOS,Valid
18,27,9,2023,5950,114.29155968731226,upi213@bank,User213,Seller10,Utilities,Native App Android,Failed
1,11,3,2024,73511,1965.7662686691538,upi214@bank,User214,Seller30,Electronics,Native App Android,Valid
20,15,3,2023,53009,567.4381917814751,upi215@bank,User215,Seller85,Food & Dining,Native App iOS,Fraud
11,12,5,2023,23398,558.5126700681461,upi216@bank,User216,Seller21,Electronics,POS Terminal,Valid
5,8,5,2023,25277,6292.003177743949,upi217@bank,User217,Seller34,Gaming/Entertainment,Mobile Web,Fraud
22,22,10,2024,26761,1238.9508802391115,upi218@bank,User218,Seller73,Healthcare,Mobile Web,Valid
3,20,2,2024,64435,59.73539688154666,upi219@bank,User219,Seller98,Electronics,Native App Android,Valid
22,30,1,2023,63944,830.5543239479861,upi220@bank,User220,Seller50,Gaming/Entertainment,Native App iOS,Valid
10,6,8,2023,31533,1756.504618606995,upi221@bank,User221,Seller76,Food & Dining,Native App Android,Valid
23,3,3,2024,72502,796.6833358716515,upi222@bank,User222,Seller47,Food & Dining,POS Terminal,Valid
16,28,1,2023,72123,54.438108486205074,upi223@bank,User223,Seller85,P2P Transfer,Mobile Web,Valid
5,24,1,2024,22880,1175.0939429420168,upi224@bank,User224,Seller84,Travel/Transport,Mobile Web,Valid
23,26,11,2023,70627,223.88947983421585,upi225@bank,User225,Seller6,Healthcare,Mobile Web,Valid
4,30,2,2023,41753,1930.7520086467025,upi226@bank,User226,Seller50,Utilities,Native App iOS,Valid
19,13,6,2024,82597,1932.9960755987008,upi227@bank,User227,Seller63,Utilities,Mobile Web,Valid
1,13,6,2024,1561,76.98097003418461,upi228@bank,User228,Seller12,Healthcare,Native App Android,Valid
5,2,3,2024,53205,686.8582922707305,upi229@bank,User229,Seller41,Electronics,Native App Android,Valid
21,5,12,2024,59810,1067.8004931244398,upi230@bank,User230,Seller31,Healthcare,Native App iOS,Valid
10,17,4,2024,64482,1598.189505266361,upi231@bank,User231,Seller2,Groceries,Mobile Web,Valid
15,6,12,2023,69192,702.1340518011551,upi232@bank,User232,Seller16,Gaming/Entertainment,Native App iOS,Valid
15,2,2,2023,86066,678.6428184667465,upi233@bank,User233,Seller1,Groceries,Native App Android,Valid
0,4,2,2024,28330,8150.867753441337,upi234@bank,User234,Seller4,Travel/Transport,Desktop Web,Valid
8,22,7,2024,16139,85.52858353638578,upi235@bank,User235,Seller47,Electronics,Native App iOS,Valid
5,26,1,2023,32977,9027.994211865444,upi236@bank,User236,Seller65,P2P Transfer,Native App Android,Valid
15,11,7,2023,4983,97.85942407619858,upi237@bank,User237,Seller52,Food & Dining,POS Terminal,Valid
2,8,12,2024,39909,680.3140320051679,upi238@bank,User238,Seller47,Electronics,Mobile Web,Valid
19,12,12,2024,64480,1361.2156753905444,upi239@bank,User239,Seller99,Gaming/Entertainment,Native App iOS,Valid
3,8,1,2023,49029,309.33109172948974,upi240@bank,User240,Seller77,Utilities,Native App Android,Valid
18,11,6,2024,21329,289.69634447349586,upi241@bank,User241,Seller50,Groceries,Native App Android,Valid
2,22,3,2023,36734,592.2692920566195,upi242@bank,User242,Seller45,Gaming/Entertainment,Mobile Web,Valid
18,20,8,2023,42837,7261.763321972429,upi243@bank,User243,Seller42,Groceries,Native App Android,Valid
19,8,6,2024,74354,956.4486015274468,upi244@bank,User244,Seller95,Groceries,Mobile Web,Valid
6,29,11,2023,76454,1669.3977031269983,upi245@bank,User245,Seller84,P2P Transfer,Native App iOS,Fraud
19,8,2,2023,66786,2436.7615541400983,upi246@bank,User246,Seller56,Utilities,Native App Android,Valid
8,26,8,2023,4758,2711.3117830750566,upi247@bank,User247,Seller71,P2P Transfer,Native App iOS,Valid
0,30,5,2024,67699,2329.7668043650515,upi248@bank,User248,Seller57,Food & Dining,Native App iOS,Valid
7,17,8,2023,82673,821.7439775322005,upi249@bank,User249,Seller33,Electronics,Native App iOS,Valid
6,20,8,2024,21832,236.95416445312748,upi250@bank,User250,Seller28,Electronics,Native App iOS,Valid
17,20,6,2023,1868,661.7818134548784,upi251@bank,User251,Seller44,Healthcare,Mobile Web,Valid
7,23,2,2023,50665,472.19221627525377,upi252@bank,User252,Seller56,Groceries,Mobile Web,Valid
0,16,8,2023,41862,293.00703280985016,upi253@bank,User253,Seller44,Healthcare,Native App Android,Valid
10,14,11,2023,19728,49.60353718616076,upi254@bank,User254,Seller84,Groceries,Desktop Web,Valid
17,30,6,2023,39857,5489.195471388789,upi255@bank,User255,Seller96,Food & Dining,Native App Android,Valid
22,11,6,2024,28183,5077.485587999173,upi256@bank,User256,Seller73,Gaming/Entertainment,Native App iOS,Fraud
9,7,8,2024,18940,103.46468810132978,upi257@bank,User257,Seller34,P2P Transfer,Native App iOS,Valid
2,16,1,2023,5280,380.1057075664665,upi258@bank,User258,Seller14,Travel/Transport,Desktop Web,Valid
6,13,2,2024,2164,300.48442244940156,upi259@bank,User259,Seller68,Travel/Transport,Native App Android,Valid
15,27,12,2024,79624,660.4080622450882,upi260@bank,User260,Seller29,Travel/Transport,Native App Android,Valid
15,15,12,2023,18405,456.48523516564387,upi261@bank,User261,Seller79,Utilities,Native App iOS,Valid
